"No.","Time","Source","Destination","Protocol","Length","Info"
"111","26.382959","127.0.0.1","127.0.0.1","TCP","56","52323  >  12346 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"112","26.383017","127.0.0.1","127.0.0.1","TCP","56","12346  >  52323 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"113","26.383056","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"150","35.780693","127.0.0.1","127.0.0.1","TCP","48","52323  >  12346 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=4"
"151","35.780731","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [ACK] Seq=1 Ack=5 Win=2619648 Len=0"
"152","35.780851","127.0.0.1","127.0.0.1","TCP","47","12346  >  52323 [PSH, ACK] Seq=1 Ack=5 Win=2619648 Len=3"
"153","35.780871","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [ACK] Seq=5 Ack=4 Win=2619648 Len=0"
"228","54.462281","127.0.0.1","127.0.0.1","TCP","47","52323  >  12346 [PSH, ACK] Seq=5 Ack=4 Win=2619648 Len=3"
"229","54.462315","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [ACK] Seq=4 Ack=8 Win=2619648 Len=0"
"230","54.462404","127.0.0.1","127.0.0.1","TCP","48","12346  >  52323 [PSH, ACK] Seq=4 Ack=8 Win=2619648 Len=4"
"231","54.462431","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [ACK] Seq=8 Ack=8 Win=2619648 Len=0"
"284","67.254545","127.0.0.1","127.0.0.1","TCP","48","52323  >  12346 [PSH, ACK] Seq=8 Ack=8 Win=2619648 Len=4"
"285","67.254582","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [ACK] Seq=8 Ack=12 Win=2619648 Len=0"
"286","67.254657","127.0.0.1","127.0.0.1","TCP","49","12346  >  52323 [PSH, ACK] Seq=8 Ack=12 Win=2619648 Len=5"
"287","67.254678","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [ACK] Seq=12 Ack=13 Win=2619648 Len=0"
"308","71.925531","127.0.0.1","127.0.0.1","TCP","45","52323  >  12346 [PSH, ACK] Seq=12 Ack=13 Win=2619648 Len=1"
"309","71.925563","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [ACK] Seq=13 Ack=13 Win=2619648 Len=0"
"310","71.925737","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [FIN, ACK] Seq=13 Ack=13 Win=2619648 Len=0"
"311","71.925759","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [ACK] Seq=13 Ack=14 Win=2619648 Len=0"
"312","71.925811","127.0.0.1","127.0.0.1","TCP","44","12346  >  52323 [FIN, ACK] Seq=13 Ack=14 Win=2619648 Len=0"
"313","71.925828","127.0.0.1","127.0.0.1","TCP","44","52323  >  12346 [ACK] Seq=14 Ack=14 Win=2619648 Len=0"
